crid,address
1057642,"100.0 S COLUMBUS DR, CHICAGO IL"
1063196,"1446.0 N TALMAN AVE, CHICAGO IL"
1049623,"5200.0 W HURON ST, CHICAGO IL 60644"
1049701,"5601.0 W MADISON ST, CHICAGO IL 60644"
1053368,"2135.0 N MILWAUKEE AVE, CHICAGO IL 60647"
1044345,"7900.0 S MERRILL AVE, CHICAGO IL"
1045049,"7557.0 S EMERALD AVE, CHICAGO IL"
1049425,"7900.0 S ELLIS AVE, CHICAGO IL 60619"
1072781,"6464.0 N CLARK ST, CHICAGO IL 60626"
1063487,"5151.0 N MILWAUKEE AVE, CHICAGO IL"
1048246,"6464.0 N CLARK ST, CHICAGO IL 60626"
1051489,"519.0 W OHARE ST, CHICAGO IL 60666"
1057458,"2032.0 W DEVON AVE, CHICAGO IL 60659"
1070067,"6555.0 N GLENWOOD AVE, CHICAGO IL"
1068427,"2000.0 W DEVON AVE, CHICAGO IL 60645"
1054707,"3151.0 W HARRISON ST, CHICAGO IL 60612"
1052932,"2712.0 W JACKSON BLVD, CHICAGO IL 60612"
1054183,"7435.0 S KINGSTON AVE, CHICAGO IL 60649"
1056754,"7200.0 S JEFFERY BLVD, CHICAGO IL 60649"
1069241,"2200.0 S KEDZIE AVE, CHICAGO IL 60623"
1054701,"5555.0 W GRAND AVE, CHICAGO IL 60639"
1066688,"1300.0 N PULASKI RD, CHICAGO IL 60651"
1069842,"1522.0 N KILPATRICK AVE, CHICAGO IL 60651"
1053605,"6000.0 S PEORIA ST, CHICAGO IL 60621"
1056240,"6500.0 S STATE ST, CHICAGO IL 60637"
1057685,"6850.0 S ASHLAND AVE, CHICAGO IL 60636"
1058169,"219.0 S DEARBORN ST, CHICAGO IL"
1060931,"3016.0 S KEELER AVE, CHICAGO IL 60623"
1050936,"6324.0 S MARSHFIELD AVE, CHICAGO IL"
1070416,"1060.0 W ADDISON ST, CHICAGO IL 60613"
1067885,"4800.0 W ERIE ST, CHICAGO IL"
